EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID;COD_LUGAR_NACE;COD_LUGAR_VIVE;COD_LUGAR_TRABAJA
100;Steven;King;SKING;5.151.234.567;23/02/2021;AD_PRES;24000;;;90;704;704;704
101;Neena;Kochhar;NKOCHHAR;5.151.234.568;16/07/2018;AD_VP;17000;;100;90;1201;1401;1201
102;Lex;De Haan;LDEHAAN;5.151.234.569;21/08/2012;AD_VP;17000;;100;90;906;901;2503
103;Alexander;Hunold;AHUNOLD;5.904.234.567;19/05/2015;IT_PROG;9000;;102;60;548;1330;470
104;Bruce;Ernst;BERNST;5.904.234.568;1/07/2017;IT_PROG;6000;;103;60;893;816;666
105;David;Austin;DAUSTIN;5.904.234.569;13/12/2016;IT_PROG;4800;;103;60;1154;2158;538
106;Valli;Pataballa;VPATABAL;5.904.234.560;25/05/2016;IT_PROG;4800;;103;60;1262;1480;1516
107;Diana;Lorentz;DLORENTZ;5.904.235.567;1/12/2019;IT_PROG;4200;;103;60;2384;2384;2384
108;Nancy;Greenberg;NGREENBE;5.151.244.569;20/10/2020;FI_MGR;12000;;101;100;1181;2282;951
109;Daniel;Faviet;DFAVIET;5.151.244.169;14/04/2016;FI_ACCOUNT;9000;;108;100;1951;2179;1363
110;John;Chen;JCHEN;5.151.244.269;25/10/2014;FI_ACCOUNT;8200;;108;100;1788;1211;1595
111;Ismael;Sciarra;ISCIARRA;5.151.244.369;7/04/2012;FI_ACCOUNT;7700;;108;100;427;806;734
112;Jose Manuel;Urman;JMURMAN;5.151.244.469;27/04/2019;FI_ACCOUNT;7800;;108;100;1415;1947;1513
113;Luis;Popp;LPOPP;5.151.244.567;20/01/2021;FI_ACCOUNT;6900;;108;100;2325;2499;526
114;Den;Raphaely;DRAPHEAL;5.151.274.561;27/12/2020;PU_MAN;11000;;100;30;1151;2249;1809
115;Alexander;Khoo;AKHOO;5.151.274.562;5/12/2021;PU_CLERK;3100;;114;30;825;198;2246
116;Shelli;Baida;SBAIDA;5.151.274.563;12/01/2017;PU_CLERK;2900;;114;30;1566;1690;2207
117;Sigal;Tobias;STOBIAS;5.151.274.564;14/11/2015;PU_CLERK;2800;;114;30;1908;1908;1908
118;Guy;Himuro;GHIMURO;5.151.274.565;10/02/2020;PU_CLERK;2600;;114;30;2113;1554;2047
119;Karen;Colmenares;KCOLMENA;5.151.274.566;6/06/2014;PU_CLERK;2500;;114;30;1576;981;949
120;Matthew;Weiss;MWEISS;6.501.231.234;10/01/2017;ST_MAN;8000;;100;50;632;2491;1788
121;Adam;Fripp;AFRIPP;6.501.232.234;21/09/2015;ST_MAN;8200;;100;50;443;443;443
122;Payam;Kaufling;PKAUFLIN;6.501.233.234;1/04/2015;ST_MAN;7900;;100;50;2443;1228;1389
123;Shanta;Vollman;SVOLLMAN;6.501.234.234;19/03/2021;ST_MAN;6500;;100;50;1459;1065;344
124;Kevin;Mourgos;KMOURGOS;6.501.235.234;14/11/2018;ST_MAN;5800;;100;50;1857;2342;575
125;Julia;Nayer;JNAYER;6.501.241.214;27/03/2017;ST_CLERK;3200;;120;50;367;732;1282
126;Irene;Mikkilineni;IMIKKILI;6.501.241.224;1/01/2019;ST_CLERK;2700;;120;50;516;1419;2026
127;James;Landry;JLANDRY;6.501.241.334;9/01/2018;ST_CLERK;2400;;120;50;2296;293;587
128;Steven;Markle;SMARKLE;6.501.241.434;2/05/2013;ST_CLERK;2200;;120;50;964;1629;783
129;Laura;Bissot;LBISSOT;6.501.245.234;10/04/2021;ST_CLERK;3300;;121;50;936;2015;155
130;Mozhe;Atkinson;MATKINSO;6.501.246.234;29/10/2015;ST_CLERK;2800;;121;50;969;170;799
131;James;Marlow;JAMRLOW;6.501.247.234;6/09/2018;ST_CLERK;2500;;121;50;1856;2368;633
132;TJ;Olson;TJOLSON;6.501.248.234;31/10/2019;ST_CLERK;2100;;121;50;2113;1147;999
133;Jason;Mallin;JMALLIN;6.501.271.934;27/04/2019;ST_CLERK;3300;;122;50;1408;261;523
134;Michael;Rogers;MROGERS;6.501.271.834;5/08/2015;ST_CLERK;2900;;122;50;542;1003;1055
135;Ki;Gee;KGEE;6.501.271.734;15/10/2017;ST_CLERK;2400;;122;50;1370;1414;1428
136;Hazel;Philtanker;HPHILTAN;6.501.271.634;23/04/2019;ST_CLERK;2200;;122;50;2195;2020;2443
137;Renske;Ladwig;RLADWIG;6.501.211.234;28/02/2012;ST_CLERK;3600;;123;50;2429;276;231
138;Stephen;Stiles;SSTILES;6.501.212.034;18/02/2019;ST_CLERK;3200;;123;50;2489;405;1636
139;John;Seo;JSEO;6.501.212.019;11/02/2017;ST_CLERK;2700;;123;50;342;1491;1696
140;Joshua;Patel;JPATEL;6.501.211.834;31/03/2015;ST_CLERK;2500;;123;50;314;781;781
141;Trenna;Rajs;TRAJS;6.501.218.009;8/02/2018;ST_CLERK;3500;;124;50;603;719;2443
142;Curtis;Davies;CDAVIES;6.501.212.994;20/12/2015;ST_CLERK;3100;;124;50;2205;436;1310
143;Randall;Matos;RMATOS;6.501.212.874;4/02/2013;ST_CLERK;2600;;124;50;1806;169;1882
144;Peter;Vargas;PVARGAS;6.501.212.004;14/05/2015;ST_CLERK;2500;;124;50;829;1932;1142
145;John;Russell;JRUSSEL;011.44.1344.429268;24/05/2021;SA_MAN;14000;0,4;100;80;1811;744;1592
146;Karen;Partners;KPARTNER;011.44.1344.467268;25/05/2012;SA_MAN;13500;0,3;100;80;1488;2118;1330
147;Alberto;Errazuriz;AERRAZUR;011.44.1344.429278;31/05/2015;SA_MAN;12000;0,3;100;80;147;930;1496
148;Gerald;Cambrault;GCAMBRAU;011.44.1344.619268;16/04/2014;SA_MAN;11000;0,3;100;80;1101;1561;1486
149;Eleni;Zlotkey;EZLOTKEY;011.44.1344.429018;22/08/2014;SA_MAN;10500;0,2;100;80;1888;2486;1789
150;Peter;Tucker;PTUCKER;011.44.1344.129268;5/08/2015;SA_REP;10000;0,3;145;80;2004;936;1375
151;David;Bernstein;DBERNSTE;011.44.1344.345268;23/11/2018;SA_REP;9500;0,25;145;80;1916;1924;1824
152;Peter;Hall;PHALL;011.44.1344.478968;15/12/2019;SA_REP;9000;0,25;145;80;1401;650;650
153;Christopher;Olsen;COLSEN;011.44.1344.498718;1/01/2017;SA_REP;8000;0,2;145;80;1436;1080;127
154;Nanette;Cambrault;NCAMBRAU;011.44.1344.987668;13/02/2016;SA_REP;7500;0,2;145;80;1401;2094;1185
155;Oliver;Tuvault;OTUVAULT;011.44.1344.486508;4/12/2017;SA_REP;7000;0,15;145;80;1914;454;1377
156;Janette;King;JKING;011.44.1345.429268;23/03/2020;SA_REP;10000;0,35;146;80;536;1138;1482
157;Patrick;Sully;PSULLY;011.44.1345.929268;24/12/2018;SA_REP;9500;0,35;146;80;1381;1163;2434
158;Allan;McEwen;AMCEWEN;011.44.1345.829268;30/04/2014;SA_REP;9000;0,35;146;80;1496;2387;2375
159;Lindsey;Smith;LSMITH;011.44.1345.729268;8/09/2021;SA_REP;8000;0,3;146;80;325;325;1802
160;Louise;Doran;LDORAN;011.44.1345.629268;15/09/2015;SA_REP;7500;0,3;146;80;287;1330;489
161;Sarath;Sewall;SSEWALL;011.44.1345.529268;23/04/2019;SA_REP;7000;0,25;146;80;1312;1020;854
162;Clara;Vishney;CVISHNEY;011.44.1346.129268;19/04/2020;SA_REP;10500;0,25;147;80;700;571;602
163;Danielle;Greene;DGREENE;011.44.1346.229268;12/08/2017;SA_REP;9500;0,15;147;80;2338;1280;2362
164;Mattea;Marvins;MMARVINS;011.44.1346.329268;15/08/2020;SA_REP;7200;0,1;147;80;164;164;1325
165;David;Lee;DLEE;011.44.1346.529268;5/11/2021;SA_REP;6800;0,1;147;80;288;1394;1916
166;Sundar;Ande;SANDE;011.44.1346.629268;5/12/2014;SA_REP;6400;0,1;147;80;1098;1071;584
167;Amit;Banda;ABANDA;011.44.1346.729268;11/09/2019;SA_REP;6200;0,1;147;80;1209;304;787
168;Lisa;Ozer;LOZER;011.44.1343.929268;1/12/2018;SA_REP;11500;0,25;148;80;1433;376;288
169;Harrison;Bloom;HBLOOM;011.44.1343.829268;10/11/2015;SA_REP;10000;0,2;148;80;491;1621;2019
170;Tayler;Fox;TFOX;011.44.1343.729268;10/04/2015;SA_REP;9600;0,2;148;80;1974;1067;1526
171;William;Smith;WSMITH;011.44.1343.629268;22/04/2013;SA_REP;7400;0,15;148;80;371;913;1835
172;Elizabeth;Bates;EBATES;011.44.1343.529268;20/11/2014;SA_REP;7300;0,15;148;80;1033;1753;836
173;Sundita;Kumar;SKUMAR;011.44.1343.329268;13/07/2019;SA_REP;6100;0,1;148;80;503;1226;931
175;Alyssa;Hutton;AHUTTON;011.44.1644.429266;25/02/2018;SA_REP;8800;0,25;149;80;1343;2019;1265
176;Jonathon;Taylor;JTAYLOR;011.44.1644.429265;31/03/2015;SA_REP;8600;0,2;149;80;327;472;2374
177;Jack;Livingston;JLIVINGS;011.44.1644.429264;20/06/2018;SA_REP;8400;0,2;149;80;1130;1180;1056
178;Kimberely;Grant;KGRANT;011.44.1644.429263;8/05/2018;SA_REP;7000;0,15;149;null;1540;896;1701
179;Charles;Johnson;CJOHNSON;011.44.1644.429262;1/01/2013;SA_REP;6200;0,1;149;80;1351;658;2106
180;Winston;Taylor;WTAYLOR;6.505.079.876;11/01/2021;SH_CLERK;3200;;120;50;2001;1172;717
181;Jean;Fleaur;JFLEAUR;6.505.079.877;1/08/2016;SH_CLERK;3100;;120;50;2488;117;284
182;Martha;Sullivan;MSULLIVA;6.505.079.878;21/06/2015;SH_CLERK;2500;;120;50;2292;1464;991
183;Girard;Geoni;GGEONI;6.505.079.879;19/09/2019;SH_CLERK;2800;;120;50;1858;378;1451
184;Nandita;Sarchand;NSARCHAN;6.505.091.876;13/02/2015;SH_CLERK;4200;;121;50;1001;187;1482
185;Alexis;Bull;ABULL;6.505.092.876;8/09/2016;SH_CLERK;4100;;121;50;972;1178;823
186;Julia;Dellinger;JDELLING;6.505.093.876;6/01/2014;SH_CLERK;3400;;121;50;2466;1791;514
187;Anthony;Cabrio;ACABRIO;6.505.094.876;4/02/2014;SH_CLERK;3000;;121;50;617;2313;1832
188;Kelly;Chung;KCHUNG;6.505.051.876;23/12/2015;SH_CLERK;3800;;122;50;899;1518;205
189;Jennifer;Dilly;JDILLY;6.505.052.876;15/06/2013;SH_CLERK;3600;;122;50;2201;950;2029
190;Timothy;Gates;TGATES;6.505.053.876;16/07/2021;SH_CLERK;2900;;122;50;1909;2166;1003
191;Randall;Perkins;RPERKINS;6.505.054.876;26/04/2017;SH_CLERK;2500;;122;50;1646;1162;356
192;Sarah;Bell;SBELL;6.505.011.876;21/01/2015;SH_CLERK;4000;;123;50;1440;1997;1846
193;Britney;Everett;BEVERETT;6.505.012.876;12/06/2013;SH_CLERK;3900;;123;50;2106;758;400
194;Samuel;McCain;SMCCAIN;6.505.013.876;26/03/2013;SH_CLERK;3200;;123;50;884;1127;1238
195;Vance;Jones;VJONES;6.505.014.876;16/02/2016;SH_CLERK;2800;;123;50;663;312;1896
196;Alana;Walsh;AWALSH;6.505.079.811;18/09/2017;SH_CLERK;3100;;124;50;210;1764;1451
197;Kevin;Feeney;KFEENEY;6.505.079.822;24/12/2020;SH_CLERK;3000;;124;50;2280;330;2055
198;Donald;OConnell;DOCONNEL;6.505.079.833;13/12/2016;SH_CLERK;2600;;124;50;1775;2299;763
199;Douglas;Grant;DGRANT;6.505.079.844;27/03/2015;SH_CLERK;2600;;124;50;1566;289;1310
200;Jennifer;Whalen;JWHALEN;5.151.234.444;11/08/2012;AD_ASST;4400;;101;10;770;1125;919
201;Michael;Hartstein;MHARTSTE;5.151.235.555;8/06/2017;MK_MAN;13000;;100;20;199;2201;1818
202;Pat;Fay;PFAY;6.031.236.666;17/11/2017;MK_REP;6000;;201;20;1654;1577;1167
203;Susan;Mavris;SMAVRIS;5.151.237.777;3/05/2021;HR_REP;6500;;101;40;1874;1716;1858
204;Hermann;Baer;HBAER;5.151.238.888;5/08/2018;PR_REP;10000;;101;70;784;2378;181
205;Shelley;Higgins;SHIGGINS;5.151.238.080;6/10/2014;AC_MGR;12000;;101;110;2275;1492;969
206;William;Gietz;WGIETZ;5.151.238.181;12/07/2012;AC_ACCOUNT;8300;;205;110;1490;1615;1495
